Gigabytes,Cost ($ per month),Technology,Company,Group,URL,Observation Date
1,5,Firebase,Firebase,Firebase on Firebase,https://www.firebase.com/pricing.html,8/13/2015
10,49,Firebase,Firebase,Firebase on Firebase,https://www.firebase.com/pricing.html,8/13/2015
30,149,Firebase,Firebase,Firebase on Firebase,https://www.firebase.com/pricing.html,8/13/2015
100,449,Firebase,Firebase,Firebase on Firebase,https://www.firebase.com/pricing.html,8/13/2015
300,1499,Firebase,Firebase,Firebase on Firebase,https://www.firebase.com/pricing.html,8/13/2015
0.1,7,Redis,Redislabs,Redis on Redislabs,https://redislabs.com/pricing,8/13/2015
0.25,18,Redis,Redislabs,Redis on Redislabs,https://redislabs.com/pricing,8/13/2015
0.5,36,Redis,Redislabs,Redis on Redislabs,https://redislabs.com/pricing,8/13/2015
1,71,Redis,Redislabs,Redis on Redislabs,https://redislabs.com/pricing,8/13/2015
2.5,173,Redis,Redislabs,Redis on Redislabs,https://redislabs.com/pricing,8/13/2015
5,338,Redis,Redislabs,Redis on Redislabs,https://redislabs.com/pricing,8/13/2015
1,15,MongoDB,Mongolab,MongoDB on Mongolab,https://mongolab.com/plans/pricing,8/13/2015
40,180,MongoDB,Mongolab,MongoDB on Mongolab,https://mongolab.com/plans/pricing,8/13/2015
60,360,MongoDB,Mongolab,MongoDB on Mongolab,https://mongolab.com/plans/pricing,8/13/2015
75,220,MongoDB,Mongolab,MongoDB on Mongolab,https://mongolab.com/plans/pricing,8/13/2015
150,440,MongoDB,Mongolab,MongoDB on Mongolab,https://mongolab.com/plans/pricing,8/13/2015
300,880,MongoDB,Mongolab,MongoDB on Mongolab,https://mongolab.com/plans/pricing,8/13/2015
600,1760,MongoDB,Mongolab,MongoDB on Mongolab,https://mongolab.com/plans/pricing,8/13/2015
1000,2730,MongoDB,Mongolab,MongoDB on Mongolab,https://mongolab.com/plans/pricing,8/13/2015
1,0.03,S3,Amazon,S3 on Amazon,https://aws.amazon.com/s3/pricing/,8/13/2015
10,0.3,S3,Amazon,S3 on Amazon,https://aws.amazon.com/s3/pricing/,8/13/2015
100,3,S3,Amazon,S3 on Amazon,https://aws.amazon.com/s3/pricing/,8/13/2015
1000,30,S3,Amazon,S3 on Amazon,https://aws.amazon.com/s3/pricing/,8/13/2015
50000,1502.05,S3,Amazon,S3 on Amazon,https://aws.amazon.com/s3/pricing/,8/13/2015
500000,14552.05,S3,Amazon,S3 on Amazon,https://aws.amazon.com/s3/pricing/,8/13/2015
